Hour 	Temp 	Dew Point 	Humidity 	Winds 	Wind Gusts 	Pressure 	Precip 	Precip Rate 	Daily Precip Total
04:20 PM 	46.9 F 	42.9 F 	86% 	3.8 mph SW 	8.3 mph 	29.26 in 	0.71 in 	0.48 in 	0.85 in
04:25 PM 	46.4 F 	42.4 F 	86% 	4.5 mph -	9.8 mph 	29.24 in 	0.74 in 	0.36 in 	0.89 in
04:30 PM 	45.8 F 	41.9 F 	86% 	4.5 mph NW 	9.2 mph 	29.23 in 	0.74 in 	0.00 in 	0.96 in
04:35 PM 	45.6 F 	42.0 F 	87% 	3.1 mph W 	4.5 mph 	29.21 in 	0.74 in 	0.00 in 	0.96 in
04:40 PM 	45.6 F 	42.0 F 	87% 	3.8 mph W 	6.9 mph 	29.23 in 	0.74 in 	0.00 in 	0.96 in
04:45 PM 	45.8 F 	42.8 F 	89% 	3.1 mph NW 	4.5 mph 	29.24 in 	0.71 in 	0.00 in 	0.96 in
04:50 PM 	46.2 F 	43.1 F 	89% 	4.5 mph S 	8.3 mph 	29.26 in 	0.71 in 	0.00 in 	0.96 in
04:55 PM 	46.4 F 	43.3 F 	89% 	3.1 mph SW 	6.0 mph 	29.27 in 	0.67 in 	0.00 in 	0.96 in
05:00 PM 	46.4 F 	43.6 F 	90% 	1.6 mph SW 	4.5 mph 	29.27 in 	0.60 in 	0.00 in 	0.96 in
05:05 PM 	46.4 F 	43.6 F 	90% 	2.2 mph SW 	3.8 mph 	29.28 in 	0.32 in 	0.00 in 	0.96 in
05:10 PM 	46.5 F 	43.8 F 	90% 	1.6 mph SW 	3.1 mph 	29.27 in 	0.14 in 	0.00 in 	0.96 in
05:15 PM 	46.7 F 	43.9 F 	90% 	0.7 mph SE 	3.1 mph 	29.28 in 	0.11 in 	0.00 in 	0.96 in
05:20 PM 	46.9 F 	44.1 F 	90% 	0.7 mph NW 	2.2 mph 	29.27 in 	0.07 in 	0.00 in 	0.96 in
05:25 PM 	47.1 F 	44.6 F 	91% 	1.6 mph NW 	3.8 mph 	29.27 in 	0.00 in 	0.00 in 	0.96 in
05:30 PM 	47.3 F 	44.8 F 	91% 	1.6 mph -	3.8 mph 	29.27 in 	0.00 in 	0.00 in 	0.96 in
05:35 PM 	47.3 F 	44.8 F 	91% 	1.6 mph S 	4.5 mph 	29.27 in 	0.00 in 	0.00 in 	0.96 in
05:40 PM 	47.4 F 	44.6 F 	90% 	2.2 mph S 	4.5 mph 	29.28 in 	0.00 in 	0.00 in 	0.96 in
05:45 PM 	47.4 F 	44.6 F 	90% 	3.8 mph S 	9.2 mph 	29.28 in 	0.00 in 	0.00 in 	0.96 in
05:50 PM 	47.4 F 	44.4 F 	89% 	0.7 mph SE 	7.6 mph 	29.28 in 	0.00 in 	0.00 in 	0.96 in
05:55 PM 	47.4 F 	44.1 F 	88% 	2.2 mph -	7.6 mph 	29.28 in 	0.00 in 	0.00 in 	0.96 in
06:00 PM 	47.3 F 	43.9 F 	88% 	3.1 mph SW 	9.2 mph 	29.28 in 	0.00 in 	0.00 in 	0.96 in
06:05 PM 	47.3 F 	43.6 F 	87% 	3.8 mph S 	6.0 mph 	29.28 in 	0.00 in 	0.00 in 	0.96 in
06:10 PM 	47.1 F 	43.4 F 	87% 	5.4 mph SW 	6.9 mph 	29.29 in 	0.00 in 	0.00 in 	0.96 in
06:15 PM 	47.1 F 	43.1 F 	86% 	3.1 mph SW 	6.0 mph 	29.28 in 	0.00 in 	0.00 in 	0.96 in
06:20 PM 	47.1 F 	43.1 F 	86% 	2.2 mph S 	3.8 mph 	29.29 in 	0.00 in 	0.00 in 	0.96 in
06:25 PM 	46.9 F 	42.6 F 	85% 	3.1 mph W 	6.0 mph 	29.29 in 	0.00 in 	0.00 in 	0.96 in
06:30 PM 	47.1 F 	42.8 F 	85% 	Calm -	-	5.4 mph 	29.30 in 	0.00 in 	0.00 in 	0.96 in
06:35 PM 	47.1 F 	42.8 F 	85% 	Calm -	-	4.5 mph 	29.29 in 	0.00 in 	0.00 in 	0.96 in
06:40 PM 	47.1 F 	42.8 F 	85% 	3.8 mph W 	5.4 mph 	29.29 in 	0.00 in 	0.00 in 	0.96 in
06:45 PM 	47.1 F 	42.8 F 	85% 	Calm -	-	4.5 mph 	29.30 in 	0.00 in 	0.00 in 	0.96 in
06:50 PM 	47.1 F 	42.8 F 	85% 	1.6 mph S 	2.2 mph 	29.31 in 	0.00 in 	0.00 in 	0.96 in
06:55 PM 	46.9 F 	42.6 F 	85% 	3.1 mph SW 	3.8 mph 	29.31 in 	0.04 in 	0.48 in 	0.96 in
07:00 PM 	46.7 F 	42.4 F 	85% 	0.7 mph S 	2.2 mph 	29.32 in 	0.04 in 	0.00 in 	0.99 in
07:05 PM 	46.5 F 	42.3 F 	85% 	Calm -	-	3.1 mph 	29.32 in 	0.04 in 	0.00 in 	0.99 in
07:10 PM 	46.5 F 	42.3 F 	85% 	0.7 mph SW 	3.8 mph 	29.32 in 	0.04 in 	0.00 in 	0.99 in
07:15 PM 	46.4 F 	41.8 F 	84% 	Calm -	-	1.6 mph 	29.33 in 	0.04 in 	0.00 in 	0.99 in
07:20 PM 	46.2 F 	41.3 F 	83% 	Calm -	-	0.7 mph 	29.32 in 	0.04 in 	0.00 in 	0.99 in
07:25 PM 	46.0 F 	41.1 F 	83% 	Calm -	- 	-	-	29.33 in 	0.04 in 	0.00 in 	0.99 in	
07:30 PM 	45.6 F 	40.8 F 	83% 	Calm -	- 	-	-	29.34 in 	0.04 in 	0.00 in 	0.99 in	
07:35 PM 	45.5 F 	40.6 F 	83% 	Calm -	- 	-	-	29.35 in 	0.04 in 	0.00 in 	0.99 in	
07:40 PM 	45.3 F 	40.4 F 	83% 	Calm -	- 	-	-	29.35 in 	0.04 in 	0.00 in 	0.99 in	
07:45 PM 	45.1 F 	40.2 F 	83% 	Calm -	- 	-	-	29.35 in 	0.04 in 	0.00 in 	0.99 in	
07:50 PM 	44.9 F 	40.4 F 	84% 	Calm -	- 	-	-	29.35 in 	0.04 in 	0.00 in 	0.99 in	
07:55 PM 	44.9 F 	40.4 F 	84% 	Calm -	- 	-	-	29.35 in 	0.00 in 	0.00 in 	0.99 in	
08:00 PM 	44.9 F 	40.4 F 	84% 	Calm -	- 	-	-	29.35 in 	0.00 in 	0.00 in 	0.99 in	
08:05 PM 	44.9 F 	40.7 F 	85% 	Calm -	-	0.7 mph 	29.35 in 	0.00 in 	0.00 in 	0.99 in
08:10 PM 	44.7 F 	40.5 F 	85% 	Calm -	- 	-	-	29.35 in 	0.00 in 	0.00 in 	0.99 in	
08:15 PM 	44.7 F 	40.8 F 	86% 	Calm -	- 	-	-	29.35 in 	0.00 in 	0.00 in 	0.99 in	
08:20 PM 	44.6 F 	40.6 F 	86% 	Calm -	- 	-	-	29.35 in 	0.00 in 	0.00 in 	0.99 in	
08:25 PM 	44.4 F 	40.7 F 	87% 	Calm -	- 	-	-	29.35 in 	0.00 in 	0.00 in 	0.99 in	
08:30 PM 	44.4 F 	41.0 F 	88% 	Calm -	- 	-	-	29.35 in 	0.00 in 	0.00 in 	0.99 in	
08:35 PM 	44.4 F 	41.0 F 	88% 	Calm -	- 	-	-	29.36 in 	0.00 in 	0.00 in 	0.99 in	
08:40 PM 	44.4 F 	41.0 F 	88% 	Calm -	- 	-	-	29.36 in 	0.00 in 	0.00 in 	0.99 in	
08:45 PM 	44.4 F 	41.0 F 	88% 	Calm -	- 	-	-	29.36 in 	0.00 in 	0.00 in 	0.99 in	
08:50 PM 	44.4 F 	41.0 F 	88% 	Calm -	-	0.7 mph 	29.36 in 	0.00 in 	0.00 in 	0.99 in
08:55 PM 	44.4 F 	41.3 F 	89% 	Calm -	- 	-	-	29.36 in 	0.00 in 	0.00 in 	0.99 in	
09:00 PM 	44.6 F 	41.2 F 	88% 	Calm -	-	0.7 mph 	29.36 in 	0.00 in 	0.00 in 	0.99 in
09:05 PM 	44.6 F 	41.2 F 	88% 	Calm -	-	0.7 mph 	29.37 in 	0.00 in 	0.00 in 	0.99 in
09:10 PM 	44.7 F 	41.7 F 	89% 	Calm -	- 	-	-	29.37 in 	0.00 in 	0.00 in 	0.99 in	
09:15 PM 	44.9 F 	41.9 F 	89% 	Calm -	-	2.2 mph 	29.37 in 	0.00 in 	0.00 in 	0.99 in
09:20 PM 	45.1 F 	42.0 F 	89% 	Calm -	-	2.2 mph 	29.37 in 	0.00 in 	0.00 in 	0.99 in
09:25 PM 	45.5 F 	42.4 F 	89% 	Calm -	-	2.2 mph 	29.37 in 	0.00 in 	0.00 in 	0.99 in
09:30 PM 	45.5 F 	42.4 F 	89% 	Calm -	-	0.7 mph 	29.37 in 	0.00 in 	0.00 in 	0.99 in
09:35 PM 	45.5 F 	42.4 F 	89% 	Calm -	- 	-	-	29.37 in 	0.00 in 	0.00 in 	0.99 in	
09:40 PM 	45.6 F 	42.6 F 	89% 	Calm -	- 	-	-	29.37 in 	0.00 in 	0.00 in 	0.99 in	
09:45 PM 	45.6 F 	42.3 F 	88% 	Calm -	- 	-	-	29.37 in 	0.00 in 	0.00 in 	0.99 in	
09:50 PM 	45.6 F 	42.3 F 	88% 	Calm -	-	0.7 mph 	29.37 in 	0.00 in 	0.00 in 	0.99 in
09:55 PM 	45.6 F 	42.3 F 	88% 	Calm -	-	2.2 mph 	29.37 in 	0.00 in 	0.00 in 	0.99 in
10:00 PM 	45.6 F 	42.3 F 	88% 	Calm -	-	0.7 mph 	29.37 in 	0.00 in 	0.00 in 	0.99 in
10:05 PM 	45.6 F 	42.3 F 	88% 	Calm -	-	0.7 mph 	29.37 in 	0.00 in 	0.00 in 	0.99 in
10:10 PM 	45.6 F 	42.0 F 	87% 	Calm -	-	0.7 mph 	29.37 in 	0.00 in 	0.00 in 	0.99 in
10:15 PM 	45.6 F 	42.0 F 	87% 	Calm -	- 	-	-	29.37 in 	0.00 in 	0.00 in 	0.99 in	
10:20 PM 	45.5 F 	41.8 F 	87% 	Calm -	- 	-	-	29.38 in 	0.00 in 	0.00 in 	0.99 in	
10:25 PM 	45.5 F 	41.8 F 	87% 	Calm -	-	0.7 mph 	29.38 in 	0.00 in 	0.00 in 	0.99 in
10:30 PM 	45.5 F 	41.8 F 	87% 	Calm -	- 	-	-	29.38 in 	0.00 in 	0.00 in 	0.99 in	
10:35 PM 	45.5 F 	41.5 F 	86% 	Calm -	-	2.2 mph 	29.38 in 	0.00 in 	0.00 in 	0.99 in
10:40 PM 	45.5 F 	41.5 F 	86% 	Calm -	-	1.6 mph 	29.39 in 	0.00 in 	0.00 in 	0.99 in
10:45 PM 	45.5 F 	41.5 F 	86% 	Calm -	-	2.2 mph 	29.39 in 	0.00 in 	0.00 in 	0.99 in
10:50 PM 	45.5 F 	41.2 F 	85% 	Calm -	- 	-	-	29.39 in 	0.00 in 	0.00 in 	0.99 in	
10:55 PM 	45.5 F 	41.2 F 	85% 	Calm -	-	1.6 mph 	29.39 in 	0.00 in 	0.00 in 	0.99 in
11:00 PM 	45.5 F 	41.2 F 	85% 	Calm -	- 	-	-	29.38 in 	0.00 in 	0.00 in 	0.99 in	
11:05 PM 	45.3 F 	41.0 F 	85% 	Calm -	- 	-	-	29.39 in 	0.00 in 	0.00 in 	0.99 in	
11:10 PM 	45.3 F 	41.0 F 	85% 	Calm -	- 	-	-	29.38 in 	0.00 in 	0.00 in 	0.99 in	
11:15 PM 	45.1 F 	40.9 F 	85% 	Calm -	- 	-	-	29.38 in 	0.00 in 	0.00 in 	0.99 in	
11:20 PM 	45.1 F 	40.9 F 	85% 	Calm -	- 	-	-	29.38 in 	0.00 in 	0.00 in 	0.99 in	
11:25 PM 	44.9 F 	40.7 F 	85% 	Calm -	- 	-	-	29.38 in 	0.00 in 	0.00 in 	0.99 in	
11:30 PM 	44.7 F 	40.2 F 	84% 	Calm -	- 	-	-	29.38 in 	0.00 in 	0.00 in 	0.99 in	
11:35 PM 	44.4 F 	40.1 F 	85% 	Calm -	- 	-	-	29.38 in 	0.00 in 	0.00 in 	0.99 in	
11:40 PM 	44.0 F 	40.1 F 	86% 	Calm -	- 	-	-	29.38 in 	0.00 in 	0.00 in 	0.99 in
11:45 PM 	44.0 F 	40.1 F 	86% 	Calm -	- 	-	-	29.38 in 	0.00 in 	0.00 in 	0.99 in	
11:50 PM 	43.8 F  39.9 F 	86% 	Calm -	- 	-	-	29.38 in 	0.00 in 	0.00 in 	0.99 in
11:55 PM 	43.7 F  39.7 F 	86% 	Calm -	- 	-	-	29.38 in 	0.00 in 	0.00 in 	0.99 in
